run_id,source_dataset,sensor_id,rows,duration_seconds,temperature_min_c,temperature_max_c,temperature_mean_c,temperature_std_c,largest_gap_seconds,missing_interval_count
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_008_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,67,20100,19.8,20.4,20.083582089552237,0.1913011339702938,600.0,1
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_008_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,376,116700,17.6,19.9,18.625797872340424,0.590302304085152,600.0,14
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_008_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,301,92100,16.9,21.5,18.794684385382062,1.2767164786406557,600.0,7
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_008_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,56,17400,16.9,17.7,17.2875,0.2427980495332344,600.0,3
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_009_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,3,600,19.8,19.8,19.8,0.0,300.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_009_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,1379,429300,17.8,22.6,19.514865844815084,0.9330236740544765,600.0,53
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_009_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,267,81900,17.3,20.7,18.499250936329585,0.8839811422634538,600.0,7
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_009_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,214,69900,16.8,21.4,18.728971962616818,1.057064295323397,600.0,20
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_010_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,542,166200,18.4,20.7,19.925092250922507,0.4288892918925575,600.0,13
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_010_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,605,187200,17.8,21.1,19.15685950413223,0.8086352476438223,600.0,20
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_010_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,763,235200,16.9,20.8,18.168545216251637,0.7958321025848597,600.0,22
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_010_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,593,183000,16.0,20.4,17.93642495784148,1.1950101574501977,600.0,18
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_011_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,60,18000,19.8,20.1,19.928333333333335,0.07092640943651086,600.0,1
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_011_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,903,278700,17.7,20.8,18.88936877076412,0.8465014576648534,600.0,27
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_011_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,34,10500,17.6,18.0,17.779411764705884,0.13011174329761535,600.0,2
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_011_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,562,171600,16.1,20.4,18.280071174377223,1.2282389073138607,600.0,11
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_012_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,223,68400,19.8,20.5,20.270403587443944,0.1822217600963202,600.0,6
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_012_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,518,162300,17.3,22.4,18.93050193050193,1.0216177547737022,600.0,24
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_012_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,270,84300,17.2,20.3,18.287037037037038,0.7425796618436392,600.0,12
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_012_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,354,113400,16.2,21.3,18.0409604519774,1.1092523993400256,600.0,25
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_013_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,222,68100,19.8,21.0,20.40135135135135,0.4026354318321258,600.0,6
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_013_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,1398,431700,16.8,20.3,18.699427753934195,0.7670053718773165,600.0,42
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_013_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,568,175200,16.8,20.3,17.984507042253522,0.8388704490158756,600.0,17
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_013_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,12,3300,16.9,17.6,17.14166666666667,0.2139249608832245,300.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_014_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,51,15600,20.5,20.7,20.623529411764704,0.07299808027053395,600.0,2
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_014_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,507,155100,18.3,21.4,20.01775147928994,0.6421429800881654,600.0,11
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_014_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,587,182100,16.7,19.7,17.93083475298126,0.8477165349516256,600.0,21
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_014_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,716,222600,16.1,21.2,18.011173184357542,1.2009950567890608,600.0,27
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_015_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,531,164400,18.6,21.2,20.51920903954802,0.4638820629806655,600.0,18
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_015_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,15,4500,19.1,19.2,19.12,0.03999999999999915,600.0,1
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_015_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,120,36900,17.1,19.1,18.16416666666667,0.5816350277928208,600.0,4
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_015_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,260,80100,16.5,19.8,18.07384615384615,0.9941408231892305,600.0,8
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_016_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,6,1800,20.5,20.5,20.5,0.0,600.0,1
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_016_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,289,88800,18.8,23.7,20.26020761245675,1.0336089017328356,600.0,8
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_016_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,204,63600,17.2,20.5,18.43480392156863,0.9455335980718299,600.0,9
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_016_BOLZANO_IEQ_2026,BOLZANO_IEQ,BOLZANO_HOMECOACH,257,83400,16.5,20.4,18.48715953307393,1.006569136180454,600.0,22
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_017_BOLZANO_IEQ_2023,BOLZANO_IEQ,BOLZANO_HOMECOACH,31,9000,20.4,20.5,20.425806451612896,0.04375696763306686,300.0,0
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_017_BOLZANO_IEQ_2024,BOLZANO_IEQ,BOLZANO_HOMECOACH,222,68700,18.7,20.7,19.78873873873874,0.4498340376986642,600.0,8
EXT_BOLZANO_IEQ_BOLZANO_HOMECOACH_017_BOLZANO_IEQ_2025,BOLZANO_IEQ,BOLZANO_HOMECOACH,432,134400,17.0,20.4,17.966435185185187,0.8563533124820852,600.0,17
