event,timestamp_seconds,retry_count,delivery_latency_seconds
delivered,0.0,0,1.01184954551917
delivered,60.0,0,0.8061467638880409
delivered,120.0,0,1.3451411511797295
delivered,180.0,0,1.1024430841696993
delivered,480.0,0,0.7476911633287947
delivered,780.0,0,1.0071944827969848
dropped,1080.0,0,
delivered,1085.0,1,0.7635897181341783
delivered,1680.0,0,0.9753626251687967
delivered,1800.0,0,1.0951336583475104
delivered,1920.0,0,0.5631752993476213
delivered,2040.0,0,1.0857583627578489
delivered,2160.0,0,1.0875947416477065
delivered,2280.0,0,0.726213054606073
delivered,2580.0,0,0.7258746348669226
delivered,3180.0,0,1.1932531428510156
delivered,3300.0,0,0.9459727772326281
delivered,3420.0,0,0.7509765919907595
delivered,3540.0,0,0.8887255244125871
delivered,3660.0,0,0.9641053822554183
delivered,3780.0,0,0.7287369820523111
delivered,3900.0,0,0.925296937538668
delivered,4200.0,0,1.2520628081233676
delivered,4740.0,0,1.1030609955576514
delivered,4860.0,0,0.5319257788149103
delivered,4980.0,0,1.0150560381384228
delivered,5100.0,0,1.3657571210117587
delivered,5220.0,0,0.8606078108090286
delivered,5340.0,0,0.9943212193649776
delivered,5640.0,0,1.2927946460586455
delivered,6240.0,0,1.0667908381528668
delivered,6360.0,0,0.886590184332616
delivered,6480.0,0,1.3796061422558699
delivered,6600.0,0,0.6973424285115395
delivered,6720.0,0,1.1459418294624417
delivered,6840.0,0,0.9693387927798753
delivered,7140.0,0,0.7461084991594752
