event,timestamp_seconds,retry_count,delivery_latency_seconds
delivered,0.0,0,1.01184954551917
delivered,60.0,0,0.8061467638880409
delivered,120.0,0,1.3451411511797295
delivered,180.0,0,1.1024430841696993
delivered,660.0,0,0.7476911633287947
delivered,780.0,0,1.0071944827969848
dropped,900.0,0,
delivered,905.0,1,0.7635897181341783
delivered,1080.0,0,0.9753626251687967
delivered,1320.0,0,1.0951336583475104
delivered,1440.0,0,0.5631752993476213
delivered,1740.0,0,1.0857583627578489
delivered,2040.0,0,1.0875947416477065
delivered,2280.0,0,0.726213054606073
delivered,2580.0,0,0.7258746348669226
delivered,2940.0,0,1.1932531428510156
delivered,3240.0,0,0.9459727772326281
delivered,3540.0,0,0.7509765919907595
delivered,3900.0,0,0.8887255244125871
delivered,4200.0,0,0.9641053822554183
delivered,4500.0,0,0.7287369820523111
delivered,4860.0,0,0.925296937538668
delivered,5460.0,0,1.2520628081233676
delivered,6060.0,0,1.1030609955576514
delivered,6660.0,0,0.5319257788149103
