event,timestamp_seconds,retry_count,delivery_latency_seconds
delivered,0.0,0,1.01184954551917
delivered,300.0,0,0.8061467638880409
delivered,600.0,0,1.3451411511797295
delivered,900.0,0,1.1024430841696993
delivered,1200.0,0,0.7476911633287947
delivered,1500.0,0,1.0071944827969848
dropped,1800.0,0,
delivered,1805.0,1,0.7635897181341783
delivered,2400.0,0,0.9753626251687967
delivered,2700.0,0,1.0951336583475104
delivered,3000.0,0,0.5631752993476213
delivered,3300.0,0,1.0857583627578489
delivered,3600.0,0,1.0875947416477065
delivered,3900.0,0,0.726213054606073
delivered,4200.0,0,0.7258746348669226
delivered,4500.0,0,1.1932531428510156
delivered,4800.0,0,0.9459727772326281
delivered,5100.0,0,0.7509765919907595
delivered,5400.0,0,0.8887255244125871
delivered,5700.0,0,0.9641053822554183
delivered,6000.0,0,0.7287369820523111
delivered,6300.0,0,0.925296937538668
delivered,6600.0,0,1.2520628081233676
delivered,6900.0,0,1.1030609955576514
delivered,7200.0,0,0.5319257788149103
