node_id,sequence_number,timestamp_seconds,delivery_time_seconds,packet_latency_seconds,predicted_state_code,risk_probability,sensor_valid,fault_flags,sequence_issues
3,0,0.0,1.01184954551917,1.01184954551917,4,0.0,True,0,
3,1,60.0,60.80614676388804,0.8061467638880373,4,0.0,True,0,
3,2,120.0,121.34514115117973,1.3451411511797318,4,0.0,True,0,
3,3,180.0,181.1024430841697,1.1024430841696926,4,0.0,True,0,
3,4,480.0,480.7476911633288,0.7476911633287955,0,0.02,True,0,
3,5,780.0,781.007194482797,1.00719448279699,0,0.01,True,0,
3,6,1080.0,1085.7635897181342,5.763589718134199,0,0.01,True,0,
3,7,1380.0,1380.9753626251688,0.9753626251688274,0,0.01,True,0,
3,8,1680.0,1681.0951336583475,1.0951336583475495,0,0.02,True,0,
3,9,1980.0,1980.5631752993477,0.5631752993476766,0,0.01,True,0,
3,10,2280.0,2281.085758362758,1.0857583627580425,0,0.01,True,0,
3,11,2580.0,2581.0875947416475,1.0875947416475356,0,0.01,True,0,
3,12,2820.0,2820.726213054606,0.726213054605978,1,0.03,True,0,
3,13,2940.0,2940.725874634867,0.7258746348670684,1,0.01,True,0,
3,14,3060.0,3061.193253142851,1.1932531428510629,1,0.01,True,0,
3,15,3360.0,3360.945972777233,0.9459727772327824,0,0.03,True,0,
3,16,3660.0,3660.750976591991,0.7509765919908205,0,0.02,True,0,
3,17,3960.0,3960.8887255244126,0.8887255244126209,0,0.01,True,0,
3,18,4260.0,4260.964105382255,0.9641053822551839,0,0.01,True,0,
3,19,4560.0,4560.728736982052,0.7287369820523963,0,0.01,True,0,
3,20,4860.0,4860.925296937538,0.9252969375384055,0,0.01,True,0,
3,21,5160.0,5161.252062808124,1.25206280812381,0,0.01,True,0,
3,22,5340.0,5341.103060995558,1.1030609955578257,1,0.04,True,0,
3,23,5460.0,5460.531925778815,0.5319257788150935,1,0.02,True,0,
3,24,5580.0,5581.015056038138,1.0150560381380274,1,0.02,True,0,
3,25,5700.0,5701.3657571210115,1.3657571210114838,1,0.02,True,0,
3,26,6000.0,6000.860607810809,0.8606078108086876,0,0.01,True,0,
3,27,6300.0,6300.994321219365,0.9943212193647923,0,0.01,True,0,
3,28,6600.0,6601.292794646059,1.29279464605861,0,0.01,True,0,
3,29,6900.0,6901.066790838153,1.0667908381528832,0,0.01,True,0,
3,30,7200.0,7200.886590184333,0.8865901843328174,0,0.01,True,0,
