timestamp,timestamp_seconds,run_id,node_id,operating_mode,measured_temperature,sensor_valid,predicted_state,risk_probability,applied_state,sampling_interval,transmission_interval,transmission_requested,transmission_reason,model_latency,fallback_status,battery_estimate
2026-01-01T00:28:00+00:00,1680.0,gradual_warming-20273476-438739b17b58,3,ml,5.4739,True,TRANSITION,0.09217357494832044,TRANSITION,30.0,120.0,False,not due,0.73533300019335,ok,99.75299999999991
2026-01-01T00:29:00+00:00,1740.0,gradual_warming-20273476-438739b17b58,3,ml,5.6953,True,TRANSITION,0.16650405477078048,TRANSITION,30.0,120.0,True,interval due,0.9032500001922017,ok,99.73999999999991
2026-01-01T00:30:00+00:00,1800.0,gradual_warming-20273476-438739b17b58,3,ml,5.574,True,TRANSITION,0.1959724688473738,TRANSITION,30.0,120.0,False,not due,0.7874169987189816,ok,99.73699999999991
2026-01-01T00:31:00+00:00,1860.0,gradual_warming-20273476-438739b17b58,3,ml,5.6276,True,TRANSITION,0.14882212755925403,TRANSITION,30.0,120.0,True,interval due,0.803375000032247,ok,99.7239999999999
2026-01-01T00:32:00+00:00,1920.0,gradual_warming-20273476-438739b17b58,3,ml,5.7055,True,TRANSITION,0.12557550787523028,TRANSITION,30.0,120.0,False,not due,0.7785420002619503,ok,99.7209999999999
2026-01-01T00:33:00+00:00,1980.0,gradual_warming-20273476-438739b17b58,3,ml,5.8721,True,TRANSITION,0.146979638463443,TRANSITION,30.0,120.0,True,interval due,0.7522089999838499,ok,99.7079999999999
2026-01-01T00:34:00+00:00,2040.0,gradual_warming-20273476-438739b17b58,3,ml,5.9139,True,TRANSITION,0.21614004221909747,TRANSITION,30.0,120.0,False,not due,0.9101669984374894,ok,99.7049999999999
2026-01-01T00:35:00+00:00,2100.0,gradual_warming-20273476-438739b17b58,3,ml,5.8451,True,TRANSITION,0.1728418316881081,TRANSITION,30.0,120.0,True,interval due,0.894333999895025,ok,99.6919999999999
2026-01-01T00:36:00+00:00,2160.0,gradual_warming-20273476-438739b17b58,3,ml,6.0474,True,TRANSITION,0.19457717262165836,TRANSITION,30.0,120.0,False,not due,0.7294160004676087,ok,99.6889999999999
2026-01-01T00:37:00+00:00,2220.0,gradual_warming-20273476-438739b17b58,3,ml,6.1171,True,TRANSITION,0.17731846885247482,TRANSITION,30.0,120.0,True,interval due,0.7196669994300464,ok,99.67599999999989
2026-01-01T00:38:00+00:00,2280.0,gradual_warming-20273476-438739b17b58,3,ml,6.151,True,TRANSITION,0.21197910848644813,TRANSITION,30.0,120.0,False,not due,0.6830839993199334,ok,99.67299999999989
2026-01-01T00:39:00+00:00,2340.0,gradual_warming-20273476-438739b17b58,3,ml,6.0564,True,TRANSITION,0.18957466861220676,TRANSITION,30.0,120.0,True,interval due,0.7052919991110684,ok,99.65999999999988
2026-01-01T00:40:00+00:00,2400.0,gradual_warming-20273476-438739b17b58,3,ml,6.3773,True,TRANSITION,0.21181868052684089,TRANSITION,30.0,120.0,False,not due,0.7098749993019737,ok,99.65699999999988
2026-01-01T00:41:00+00:00,2460.0,gradual_warming-20273476-438739b17b58,3,ml,6.3603,True,TRANSITION,0.2226756516389539,TRANSITION,30.0,120.0,True,interval due,0.8938749997469131,ok,99.64399999999988
2026-01-01T00:42:00+00:00,2520.0,gradual_warming-20273476-438739b17b58,3,ml,6.2902,True,TRANSITION,0.22717136400113397,TRANSITION,30.0,120.0,False,not due,0.7455420000042068,ok,99.64099999999988
2026-01-01T00:43:00+00:00,2580.0,gradual_warming-20273476-438739b17b58,3,ml,6.3579,True,TRANSITION,0.2258723732486207,TRANSITION,30.0,120.0,True,interval due,0.8367499995074468,ok,99.62799999999987
2026-01-01T00:44:00+00:00,2640.0,gradual_warming-20273476-438739b17b58,3,ml,6.3953,True,TRANSITION,0.1052940452616175,TRANSITION,30.0,120.0,False,not due,0.7746249993942911,ok,99.62499999999987
2026-01-01T00:45:00+00:00,2700.0,gradual_warming-20273476-438739b17b58,3,ml,6.4353,True,TRANSITION,0.13420074234554266,TRANSITION,30.0,120.0,True,interval due,0.7132089995138813,ok,99.61199999999987
2026-01-01T00:46:00+00:00,2760.0,gradual_warming-20273476-438739b17b58,3,ml,6.401,True,TRANSITION,0.14531480237144012,TRANSITION,30.0,120.0,False,not due,0.7697919991187518,ok,99.60899999999987
2026-01-01T00:47:00+00:00,2820.0,gradual_warming-20273476-438739b17b58,3,ml,6.5991,True,TRANSITION,0.19276950489662817,TRANSITION,30.0,120.0,True,interval due,0.7495829995605163,ok,99.59599999999986
