system,horizon_minutes,direction_accuracy,warming_recall,cooling_recall
ridge_unweighted,5,0.7232267037552156,0.30612244897959184,0.1
ridge_unweighted,15,0.5605006954102921,0.6158536585365854,0.21717171717171718
ridge_unweighted,30,0.44645340751043117,0.7268041237113402,0.23905723905723905
ridge_weighted,5,0.7162726008344924,0.29591836734693877,0.14444444444444443
ridge_weighted,15,0.5563282336578581,0.6280487804878049,0.21717171717171718
ridge_weighted,30,0.4228094575799722,0.7989690721649485,0.23905723905723905
huber_unweighted,5,0.7440890125173852,0.25510204081632654,0.05555555555555555
huber_unweighted,15,0.5396383866481224,0.5853658536585366,0.30808080808080807
huber_unweighted,30,0.4561891515994437,0.5360824742268041,0.3939393939393939
huber_weighted,5,0.7329624478442281,0.3163265306122449,0.14444444444444443
huber_weighted,15,0.5326842837273992,0.5670731707317073,0.3181818181818182
huber_weighted,30,0.4506258692628651,0.5154639175257731,0.39730639730639733
elastic_net_unweighted,5,0.721835883171071,0.30612244897959184,0.08888888888888889
elastic_net_unweighted,15,0.5605006954102921,0.6158536585365854,0.21717171717171718
elastic_net_unweighted,30,0.44923504867872044,0.7319587628865979,0.23905723905723905
elastic_net_weighted,5,0.7162726008344924,0.29591836734693877,0.14444444444444443
elastic_net_weighted,15,0.5563282336578581,0.6341463414634146,0.21717171717171718
elastic_net_weighted,30,0.42141863699582754,0.788659793814433,0.2356902356902357
decision_tree_unweighted,5,0.6912378303198887,0.3673469387755102,0.2
decision_tree_unweighted,15,0.5827538247566064,0.5792682926829268,0.1717171717171717
decision_tree_unweighted,30,0.4659248956884562,0.5567010309278351,0.11447811447811448
decision_tree_weighted,5,0.5660639777468707,0.35714285714285715,0.32222222222222224
decision_tree_weighted,15,0.5354659248956884,0.6890243902439024,0.30303030303030304
decision_tree_weighted,30,0.5368567454798331,0.5824742268041238,0.9191919191919192
