model,weighted,training_seconds,model_size_bytes,feature_count,mae_5m,rmse_5m,mae_15m,rmse_15m,mae_30m,rmse_30m,mean_mae,mean_rmse,dynamic_mae,improvement_mean_mae_c,improvement_mean_mae_percent
ridge,False,0.01908430000185035,5955,16,0.03560701803749155,0.05508103898611738,0.07841204015193978,0.109062890545625,0.1381095943445512,0.187532121009037,0.08404288417799417,0.1172253501802598,0.1407037434120394,-0.005600603232236143,-7.13977610634359
ridge,True,0.022124299983261153,5955,16,0.03672350973634971,0.05672255061356061,0.08119215979170101,0.1118758564142617,0.1421446181043924,0.19159035960552928,0.08668676254414771,0.1200629222111172,0.13996000800647238,-0.008244481598389683,-10.510252250429396
huber,False,0.14087580000341404,15840,16,0.03418870470324121,0.05334166505640864,0.07468295654733999,0.10681552550585308,0.13246560130744608,0.18920871840753375,0.08044575418600909,0.11645530298993183,0.14082529662831667,-0.0020034732402510608,-2.554073155568284
huber,True,0.11470149998785928,15840,16,0.036196693561735306,0.05529218678934397,0.07897698090438626,0.11193535134793868,0.13748080720633352,0.19623322453999173,0.08421816055748503,0.12115358755909145,0.13956207255235772,-0.005775879611727,-7.363222412822183
elastic_net,False,0.16893120000895578,6192,16,0.035462087003461325,0.05501522674266589,0.07836853955936675,0.10901977745434617,0.1380824997902311,0.18750204996850794,0.0839710421176864,0.11717901805517333,0.1407181846742885,-0.0055287611719283675,-7.048190217405133
elastic_net,True,0.22320339998987038,6192,16,0.03661289297308872,0.05667108994102604,0.08119719701575541,0.11185768971477064,0.14218038715982076,0.19161938240740434,0.08666349238288829,0.12004938735440034,0.13991194986107,-0.008221211437130255,-10.480586920738743
decision_tree,False,0.04462250000506174,15462,16,0.03875325595680309,0.059929210336988,0.08150823117975518,0.11564662942699876,0.1353367108958157,0.1975214190338939,0.08519939934412464,0.12436575293262687,0.1420617092645671,-0.00675711839836661,-8.614127887279416
decision_tree,True,0.05098920001182705,15318,16,0.044667314040537656,0.06220297347305579,0.09043186957450693,0.12897098297384418,0.14104202924143372,0.21046362422727946,0.09204707095215943,0.1338791935580598,0.1431539445430731,-0.013604790006401399,-17.34369506135213
