baseline,split,macro_f1,weighted_f1,balanced_accuracy,false_alarm_rate,missed_event_rate,median_warning_lead_time_seconds,mean_warning_lead_time_seconds,alerts,missed_excursions
fixed_threshold,train,0.5788174158003841,0.76033140111688,0.6069185751596176,0.07142857142857142,0.0,-600.0,-488.0769230769231,56,0
fixed_threshold,validation,0.5778928876327569,0.7591404935788015,0.6058897426975604,0.07142857142857142,0.0,-600.0,-493.84615384615387,14,0
fixed_threshold,test,0.5884058914829647,0.7968345048756984,0.6085731492235557,0.0,0.0,-600.0,-485.0,12,0
rule_based,train,0.5733278951534181,0.6782748808075646,0.5804032354184135,0.8955823293172691,0.0,-180.0,-195.0,498,0
rule_based,validation,0.5746194250460422,0.6760171714211465,0.5806720795038751,0.8925619834710744,0.0,-180.0,-221.53846153846155,121,0
rule_based,test,0.5706910960639645,0.6917055154638677,0.5795779172248728,0.8983050847457628,0.0,-210.0,-230.0,118,0
